backend,mode,case_id,family,repeat,expected,predicted,status,elapsed_ms,review,request_sha256
jev,choice,conditional-01,conditional,0,urgent,urgent,ok,221.0738330031745,,e3c5ace940a1a1b1d7fda17b16f1642bb2901b3d55118f1e2b30dfba0125ab4b
jev,choice,conditional-01,conditional,1,urgent,urgent,ok,263.91158398473635,,e3c5ace940a1a1b1d7fda17b16f1642bb2901b3d55118f1e2b30dfba0125ab4b
jev,choice,conditional-01,conditional,2,urgent,urgent,ok,293.43850002624094,,e3c5ace940a1a1b1d7fda17b16f1642bb2901b3d55118f1e2b30dfba0125ab4b
jev,choice,conditional-02,conditional,0,urgent,urgent,ok,242.573875002563,,fb65e8d6c22dc984e1efd0c1ac27270aaeba85045cc9ab3d808ba3b1c4bb81f8
jev,choice,conditional-02,conditional,1,urgent,urgent,ok,241.697582998313,,fb65e8d6c22dc984e1efd0c1ac27270aaeba85045cc9ab3d808ba3b1c4bb81f8
jev,choice,conditional-02,conditional,2,urgent,urgent,ok,272.21254096366465,,fb65e8d6c22dc984e1efd0c1ac27270aaeba85045cc9ab3d808ba3b1c4bb81f8
jev,choice,conditional-03,conditional,0,todo,todo,ok,288.6161250062287,,2085eb649e2094d72de7b0f41c5e9f8e9ff60c2352e4289b77e2fe518dd0d145
jev,choice,conditional-03,conditional,1,todo,todo,ok,244.55704202409834,,2085eb649e2094d72de7b0f41c5e9f8e9ff60c2352e4289b77e2fe518dd0d145
jev,choice,conditional-03,conditional,2,todo,todo,ok,282.8495829598978,,2085eb649e2094d72de7b0f41c5e9f8e9ff60c2352e4289b77e2fe518dd0d145
jev,choice,conditional-04,conditional,0,todo,todo,ok,234.50820898870006,,6ce30a3bf7bb8f91d71d1eba60e673f13ee5a7141b82caf149b7c7dbd49ff4e4
jev,choice,conditional-04,conditional,1,todo,todo,ok,255.22779097082093,,6ce30a3bf7bb8f91d71d1eba60e673f13ee5a7141b82caf149b7c7dbd49ff4e4
jev,choice,conditional-04,conditional,2,todo,todo,ok,272.4872500402853,,6ce30a3bf7bb8f91d71d1eba60e673f13ee5a7141b82caf149b7c7dbd49ff4e4
jev,choice,conditional-05,conditional,0,valuable,valuable,ok,261.8055830243975,,70fb063b3552fb01866b596d1ea49cc605b53ecaf61a3a94a0e6eb254a6749e5
